governance_pillar;governance_problem;governance_problem_fr;severity_3;severity_2;severity_1;Severity_0
Law enforcement;Corruption leads to illegal activity/poor enforcement;Corruption conduit à une activité illégale / mauvaise application de la loi;"- La société contourne la loi et / ou gagne un avantage commercialen raison de liens politiques
- Le gouvernement prend l'action illégale pour aider l'entreprise
- Une preuve solide de corruption liée à une mauvaise application de la loi permettant des infractions sévères (niveau 3)
- Tentatives de légitimer le bois illégal (16+ pieds ou 70+ m3 ou preuve d'une pratique systémique impliquant plusieurs autorités)";"- La société bénéficie de sanctions réduites en raison de liens politiques
- Une preuve solide de corruption liée à une mauvaise application de la loi permettant des infractions sévères (niveau 2)
- Tentatives de légitimer le bois illégal (6 à 15 peids; Comportement répété d'une autorité)";"- Potentiel de conflit d'intérêts existe mais n'est pas prouvé
- Une preuve solide de corruption liée à une mauvaise application de la loi permettant des infractions sévères (niveau 1)
- Tentatives de légitimer le bois illégal (1 à 5 pieds; Preuve d'un incident)";
Law enforcement;Poor application of sanctions ;Défaut d'application des sanctions;"- < 20% des sanctions prononcées appliquées
- Constats d'infractions sévères (niveau 3) non sanctionnés selon la loi
- Non saisie du bois frauduleux (> 100m3)
- Procès-verbaux de constat d'infraction pas établis (<20% des constats) ou vices sur > 50% des PV d'un trimestre ou plus
- Incohérences systématiques des sanctions";"- Entre 20-50% des sanctions prononcées appliquées
- Constats d'infractions (sévèrité niveau 2) non sanctionés
- Non saisie du bois frauduleux 50-100 m3
- Erreurs systématiques dans le calcul des pénalités
- Erreurs dans 20-50% des PV d'un trimestre ou plus
- Inconstance dans l’application des dispositions (aucune preuve d'être systémique)";"- > 80% des sanctions prononcées appliquée
- Équivalent de non sanction d'une observation de niveau 1
- Non saisie du bois frauduleux < 50 m3
- Erreurs dans le calcul des pénalités (aucune preuve d'être systémique)
- Erreurs dans < 20% des PV d'un trimestre ou plus
- Non respect des procédures de transmission des PVs aux autorités compétentes";
Transparency;Information not made public as required by law, including the VPA;Information non rendue publique malgré la loi, y compris l'APV;< 20% des informations sont accessibles au public;20-50% des informations sont accessibles au public;51-95% des informations sont accessibles au public;
Policy framework;Policy gaps;Lacunes dans les politiques clés pour la gestion durable des forêts;"- Les lacunes politiques permettent une exploitation non durable à grande échelle
- Montants des amendes n'ont aucun caractère dissuasif (systematique)";"- Les lacunes politiques entravent systématiquement l'application efficace des lois forestières
- Montants des amendes n'ont aucun caractère dissuasif (aucune preuve d'être systémique)";Les lacunes politiques entraînent des problèmes de gouvernance mineurs (tels que les retards mineurs dus à des processus bureaucratiques fastidieux);
Planning and decision making;Lack of interagency cooperation ;Manque de coopération interinstitutions ;"- Manque de coopération provoque des problèmes systémiques de gouvernance et d'application de la loi
- Plusiers obstacles délibérés à empêcher l'observateur mandaté d'accéder aux documents ou à une zone
- Préjudice physique ou incarcération injustifiée d'observateurs indépendants";"- Manque de coopération provoque des problèmes périodiques de gouvernance et d'application de la loi
- Un obstacle délibérés à empêcher l'observateur mandaté d'accéder aux documents ou à une zone";"- Le manque de coopération masque l'efficacité de l'application de la loi et / ou de la gouvernance
- Missions conjointes annulées par les autorités ou pas entièrement exécuté comme prévu";
Planning and decision making;Lack of transparency on use of forestry revenues, including taxes and fines;Manque de transparence sur l'utilisation des taxes, transactions et d'autres recettes forestières;Absence de budget sur la répartition de fonds forestiers disponible au public;Budget sur la répartition de fonds forestiers incomplet disponible au public;Budget sur la répartition de fonds forestiers disponible au public avec des retards;
Law enforcement;Poor control;Mauvais contrôle/suivi;"- Aucune mission de contrôle prévue par la loi effectuée (au moins un trimestre)
- Absence de contrôle efficace aux plusieurs postes de contrôle
- Absence de suivi (permis spéciaux, production, niveau de réalisation des obligations conventionnelles et exécution de plans d'aménagements)
- Contrôle partiel ou < 50% de l'échantillon réglementaire (inventaire)
";"- 1-50% missions de contrôle requises par la lois effectuées
- Absence de contrôle a une poste de contrôle
- Absence de planification de missions
- Absence d'une standardisation du contrôle
- Suivi partiel permis spéciaux (entre 50%-25%)
- Suivi partiel/incorrect production (écart 2 000-10 000 m3)
- Suivi partiel sur le niveau de réalisation des obligations conventionnelles et exécution de plans d'aménagements (majorité des obligations)";"- 51-95% missions de contrôle requises effectuées
- Suivi partiel permis spéciaux (entre moins de 25%)
- Suivi partiel/incorrect production (moins de 2 000 m3)
- Suivi partiel sur le niveau de réalisation des obligations conventionnelles et exécution de plans d'aménagements (moins de la majorité des obligations)
- Mauvaise planification de missions
- Contrôle partiel ou de 50-90% de l'échantillon réglementaire (inventaire)
";
Law enforcement;Poor reporting of enforcement;Mauvais rapportage de l'application de la loi;Absence totale de rapports importants ;"- Mauvaise qualité de plusiers rapports
- < 50% rapports attendus soumis ";"- Mauvaise qualité d'un rapports
- Entre 51-90% rapports attendus soumis ";
Law enforcement;Poor tax and fine collection;Mauvaise recouvrement des taxes/transactions/frais;"- Moins de 25% recouvrés/au moins un trimestre par Départment/Province
- Perte de plus de 100 000 euros";"- Entre 25-75% recouvrés/au moins un trimestre par Départment/Province
- Perte entre 99 000-10 000 euros
- Calculs erronés systémique des impôts dus
- Transmission irrégulière > 10 000 euros";"- Entre 76-99%  recouvrés/au moins un trimestre par Départment/Province
- Non-respect des procédures de collecte (e.g. paiement en espèce)
- Perte moins de 10 000 euros
- Calculs erronés des impôts dus (aucune preuve d'être systémique)
- Transmission irrégulière < 10 000 euros";
Law enforcement;Poor distribution of law enforcement means;Mauvaise répartition des moyens d'application de la loi;"- Entre 0-6 agents/300 000 ha (moins de 1 agent/50 000 ha)
- Des postes de contrôle importants abandonnés régulièrement
- Absence de 4x4 ou moto tout terrain fonctionnels
- < 25% fonds prévus reçus par l'unité d'exécution sous-nationale dans des délais raisonnables
- Les agents forestiers manquent de l'équipement nécessaire dans la majorité des postes de terrain";"- Entre 7-15 agents/300.000 ha (1 agent/42 000 ha - 20 000 ha)
- Mauvaise localisation ou pas assez des brigades
- Des postes de contrôle importants abandonnés (observee une fois)
- Un 4x4 ou moto tout terrain fonctionnel
- Entre 25-75% fonds prévus reçus par l'unité d'exécution sous-nationale dans des délais raisonnables
- Les agents forestiers ne disposent pas de l'équipement nécessaire dans plusieurs postes de terrain";"- Entre 15-20 agents/300.000 ha
- Deux 4x4 ou moto tout terrain fonctionnels
- Entre 76-99% fonds prévus reçus par l'unité d'exécution sous-nationale dans des délais raisonnables
- Les agents forestiers ne disposent pas de l'équipement nécessaire dans une poste de terrain";
