Company;ID;FA_FMU;OTP_Sub_Category;OTP_Document name;Link to the document;OTP_Expire date;OTP_Signature date;FA_size;FA_PDF name
CFT;DRC/UNKNOWN/0004;046/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/18/attachments/1615;;24-Aug-11;7103504;cod_cs_cft_036_04_ubuntu.pdf
RIBA CONGO;DRC/UNKNOWN/0015;56/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/2/attachments/406;;2-Jul-10;179095;ccf_056_14_Ribacongo.pdf
SIFORCO ;DRC/UNKNOWN/0021;54/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/20/attachments/1604;;15-May-14;314768;ccf_054_14_Siforco.pdf
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/21/attachments/2002;;12-Jul-13;1073411;cod_acs_bakribois_004_11_c.pdf
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/21/attachments/2005;;N/A;2670339;cod_acs_bakribois_004_11_b.pdf
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/21/attachments/2009;;N/A;2882904;cod_acs_bakribois_004_11_a.pdf
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11;Use rights;Avenant au contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/21/attachments/2014;;13-Dec-11;2253277;cod_ccf_bakribois_004_11.pdf
BAKRI BOIS CORPORATION;DRC/UNKNOWN/0001;004/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/21/attachments/2014;;4-Aug-11;2253277;cod_ccf_bakribois_004_11.pdf
SIFORCO  ;DRC/UNKNOWN/0021;53/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/26/attachments/1611;;15-May-14;269510;ccf_53_14_Siforco.pdf
SCTP ;DRC/UNKNOWN/0018;55/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/29/attachments/2040;;26-Jun-14;257364;ccf_055_14_Onatra.pdf
LA FORESTIERE;DRC/UNKNOWN/0010;002/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/3/attachments/2010;;1-Nov-10;1144740;cod_cs_la_forestiere_003_92.pdf
LA FORESTIERE;DRC/UNKNOWN/0010;002/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/3/attachments/2015;;4-Aug-11;1937022;cod_ccf_la_forestiere_002_11.pdf
SCIBOIS;DRC/UNKNOWN/0017;020/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/33/attachments/2012;;24-Oct-11;1922895;ccf_SCIBOIS_093_03.pdf
CFT;DRC/UNKNOWN/0004;047/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/35/attachments/2032;;24-Oct-11;5151763;cod_ccf_047_11_Cft.pdf
SODEFOR;DRC/UNKNOWN/0022;039/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/38/attachments/2041;;21-Oct-11;1766591;cod_ccf_sodefor_oshwe_028_03.pdf
SODEFOR;DRC/UNKNOWN/0022;039/11;Forest Management;Plan de gestion approuvé des quatre premières assiettes annuelles de coupe;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/38/attachments/2045;;6-Aug-10;12201574;cod_cs_sodefor_028_03.pdf
SODEFOR;DRC/UNKNOWN/0022;039/11;Use rights;Accord sur la clause sociale du cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/38/attachments/2045;;11-Dec-09;12201574;cod_cs_sodefor_028_03.pdf
SODEFOR;DRC/UNKNOWN/0022;039/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/38/attachments/2045;;6-Aug-10;12201574;cod_cs_sodefor_028_03.pdf
SODEFOR;DRC/UNKNOWN/0022;039/11;Use rights;Avenant au contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/38/attachments/2050;;13-Dec-11;264148;cod_accf_sodefor_039_11.pdf
SIFORCO;DRC/UNKNOWN/0021;026/11;Forest Management;Plan de gestion approuvé des quatre premières assiettes annuelles de coupe;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/47/attachments/1202;;1-Oct-12;5200405;cod_pg_siforco_07_95.pdf
SIFORCO;DRC/UNKNOWN/0021;026/11;3rd parties’ legal rights;PV de désignation des membres et d’installation des comités locaux de gestion (CLG) et de suivi (CLS) ;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/47/attachments/1204;;21-Oct-11;1405960;cod_cs_bloc_k20001_07_95.pdf
SIFORCO;DRC/UNKNOWN/0021;026/11;Use rights;Accord sur la clause sociale du cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/47/attachments/1204;;21-Oct-11;1405960;cod_cs_bloc_k20001_07_95.pdf
SIFORCO;DRC/UNKNOWN/0021;026/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/47/attachments/1209;;7-Aug-13;4030223;cod_acs_siforco_026_11.pdf
SIFORCO;DRC/UNKNOWN/0021;026/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/47/attachments/1211;;24-Oct-11;2150678;cod_ccf_026_11_Siforco.pdf
SODEFOR  ;DRC/UNKNOWN/0022;59/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/5/attachments/2047;;10-Jul-14;262416;ccf_059_14_sodefor.pdf
COTREFOR ;DRC/UNKNOWN/0006;009/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/50/attachments/2026;;11-Sep-13;3260480;cod_acs_cotrefort_009_11.pdf
ITB;DRC/UNKNOWN/0009;012/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/54/attachments/402;;12-Aug-11;1837260;ccf_itb_elanga_030_05.pdf
ITB;DRC/UNKNOWN/0009;012/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/54/attachments/403;;24-Aug-13;245583;cod_accf_itb_012_11_b.pdf
ITB;DRC/UNKNOWN/0009;012/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/54/attachments/404;;8-Jun-11;3445297;cod_cs_itb_030_05.pdf
ITB;DRC/UNKNOWN/0009;012/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/54/attachments/405;;N/A;2106191;cod_accf_itb_012_11_a.pdf
ITB;DRC/UNKNOWN/0009;012/11;Forest Management;Plan de gestion approuvé des quatre premières assiettes annuelles de coupe;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/54/attachments/412;;1-Jan-12;5787650;cod_pg_itb_030_05.pdf
ITB;DRC/UNKNOWN/0009;013/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/55/attachments/411;;12-Aug-11;1853187;ccf_013_11_itb.pdf
ITB;DRC/UNKNOWN/0009;013/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/55/attachments/808;;5-Apr-11;5038468;cod_cs_itb_001_04.pdf
ITB;DRC/UNKNOWN/0009;013/11;Forest Management;Plan de gestion approuvé des quatre premières assiettes annuelles de coupe;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/55/attachments/810;;1-Jan-11;6034630;cod_pg_itb_001_04.pdf
ITB;DRC/UNKNOWN/0009;013/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/55/attachments/814;;13-Dec-11;267783;cod_accf_itb_001_04.pdf
ITB;DRC/UNKNOWN/0009;013/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/55/attachments/815;;19-Aug-13;2405733;cod_acs_itb_013_11_a.pdf
TALA TINA;DRC/UNKNOWN/0024;50/14;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/58/attachments/2039;;25-Apr-14;1707191;ccf_050_14_Tala_tina.pdf
COTREFOR ;DRC/UNKNOWN/0006;018/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/64/attachments/804;;8-Jun-13;3054999;cod_acs_cotrefor_018_11_a.pdf
COTREFOR ;DRC/UNKNOWN/0006;018/11;Use rights;Avenant à l'Accord constituant la Clause Sociale du Cahier des Charges du Contrat de Concession Forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/64/attachments/812;;8-Jun-13;4611940;cod_acs_cotrefor_018_11_b.pdf
LA FORESTIERE;DRC/UNKNOWN/0010;001/11;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/68/attachments/1602;;4-Aug-11;1724915;cod_ccf_la_forestiere_002_92.pdf
LA FORESTIERE;DRC/UNKNOWN/0010;001/11;Use rights;Cahier des charges;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/68/attachments/1605;;24-Nov-10;6673838;cs_LaForestiere_002-92.pdf
SODEFOR;DRC/UNKNOWN/0022;61/14 du 10 juillet 2014;Use rights;Contrat de concession forestière;https://gis-staging.forest-atlas.org/server/rest/services/otp/cod/MapServer/0/9/attachments/2051;;10-Jul-14;275102;ccf_061_14_Sodefor.pdf
SICOFOR;CG/PNR/10B1907;Ingoumina-lelali;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/14/attachments/2814;;5-Oct-06;1179109;CG_ARR_8232_ApprobationCAT_SICOFOR_2006.pdf
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
";Use rights;Avenant à la convention----;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/17/attachments/406;;17-May-10;3616065;CG_ARR_2597-ContratTransfoBétou.pdf
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Bétou
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/17/attachments/407;;19-Sep-05;77597340;CG_ARR_5743-Approbation_CAT-Bétou_2005.pdf
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/18/attachments/3;;11-Jun-09;7286981;PlanAm_MISSA_LIKOUALA-TIMBER.pdf
LIKOUALA TIMBER;CG/UNKNOWN/0013;"Missa
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/18/attachments/807;;;73112941;CG_ARR_5742-Approbation_CAT-Missa_2005.pdf
MOKABI SA;CG/IMP/03B001;"Mokabi-dzanga
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/19/attachments/16;;1-Jul-09;7090666;PlanAm_MOKABI_DZANGA_MOKABI.pdf
BPL;CG/UNKNOWN/0002;"Lopola
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/20/attachments/11;;1-Jun-08;9783214;PlanAm_LOPOLA_BPL.pdf
BPL;CG/UNKNOWN/0002;"Lopola
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/20/attachments/1209;;13-Nov-02;10271089;CG_ARR_5863_CAT_Lopola_2002.pdf
THANRY-CONGO;CG/BZV/11B2841;"Ipendja
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/21/attachments/2864;;20-Sep-05;787412;Convention N°8.PDF
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/26/attachments/1609;;13-Nov-02;15018792;CG_ARR_5859_CAT_CIB Lound-Touk_2002.pdf
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
";Use rights;Avenant à la convention----;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/26/attachments/1610;;15-Feb-10;2116655;CG_AvenantCAT_UFA_Lound-Touk_2010.pdf
CIB;CG/OUE/05B179;"Loundoungou-toukoulaka
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/26/attachments/18;;1-Jun-10;13118822;PlanAm_LOUNDOUNGOU-TOUKALAKA_CIB.pdf
CIB;CG/OUE/05B179;"Kabo
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/27/attachments/1;;1-Apr-06;33147903;PlanAm_KABO_CIB.pdf
CIB;CG/OUE/05B179;"Kabo
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/27/attachments/1614;;13-Nov-02;12401821;CG_ARR_5857_CAT_CIB_Kabo_2002.pdf
CIB;CG/OUE/05B179;"Kabo
";Use rights;Avenant à la convention----;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/27/attachments/1615;;15-Feb-10;5710368;CG_AvenantCAT_UFA Kabo_2010.pdf
CIB;CG/OUE/05B179;"Pokola
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/28/attachments/14;;1-Dec-07;63824666;PlanAm_POKOLA_CIB.pdf
CIB;CG/OUE/05B179;"Pikounda nord
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/28/attachments/7;;13-Nov-02;13504851;Arrêté n°5856_CIB-Pokola-Pikounda_2002.pdf
CIB;CG/OUE/05B179;"Pokola
";Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/28/attachments/7;;13-Nov-02;13504851;Arrêté n°5856_CIB-Pokola-Pikounda_2002.pdf
IFO;CG/UNKNOWN/0011;"Ngombé
";Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/29/attachments/5;;1-Sep-07;9365474;PlanAm_NGOMBE_IFO.pdf
AFRIWOOD INDUSTRIES;CG/PNR/13B947;Cayo;Use rights;Convention de transformation industrielle (CTI);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/3/attachments/2840;;N/A;2851438;Convention_Doumanga_Cayo.pdf
SIFCO;CG/BZV/04B2198;Tala-tala;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/31/attachments/2859;;19-Sep-05;892366;CAT N°7 (UFA_TALA_TALA).PDF
SEFYD;CG/BZV/07B428;Jua-ikie;Use rights;Avenant à la convention----;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/32/attachments/2867;;1-Sep-08;1768171;Avenant N°4.PDF
CONGO DEJIA WOOD INDUSTRY;CG/UNKNOWN/0007;Mbomo-kéllé;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/35/attachments/2873;;2-Aug-07;806857;Convention N°2.PDF
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Massanga;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/37/attachments/2817;;20-Jan-06;1590091;CG_ARR_512_ApprobationCAT_ACI_2006.pdf
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Ngongo-nzambi;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/40/attachments/2822;;20-Jan-06;1590091;CG_ARR_512_ApprobationCAT_ACI_2006.pdf
SICOFOR;CG/PNR/10B1907;Letili;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/41/attachments/2803;;5-Oct-06;1179109;CG_ARR_8232_ApprobationCAT_SICOFOR_2006.pdf
SICOFOR;CG/PNR/10B1907;Letili;Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/41/attachments/8;;1-Nov-15;30184435;PlanAm_LETILI_SICOFOR.pdf
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Bambama;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/42/attachments/2805;;20-Jan-06;1590091;CG_ARR_512_ApprobationCAT_ACI_2006.pdf
ASIA CONGO INDUSTRIE;CG/PNR/09B1268;Louvakou;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/43/attachments/2850;;20-Jan-06;1590091;CG_ARR_512_ApprobationCAT_ACI_2006.pdf
AFRIWOOD INDUSTRIES;CG/PNR/13B947;Doumanga;Use rights;Convention de transformation industrielle (CTI);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/53/attachments/2842;;N/A;2851438;Convention_Doumanga_Cayo.pdf
SICOFOR;CG/PNR/10B1907;Gouongo;Forest Management;Plan d'aménagement/Résumé du plan d'aménagement;https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/9/attachments/10;;1-Nov-15;20028537;PlanAm_GOUONGO_SICOFOR.pdf
SICOFOR;CG/PNR/10B1907;Gouongo;Use rights;Convention d’aménagement et de transformation (CAT);https://gis-staging.forest-atlas.org/server/rest/services/otp/cog/MapServer/1/9/attachments/2808;;5-Oct-06;1179109;CG_ARR_8232_ApprobationCAT_SICOFOR_2006.pdf
